Key,Brazilian

<!-- AJUSTES HUD UI -->

lblContextCraftCount,"Quantidade"
xuiUnlockedBy,"Opções de Desbloqueio"
ingredient,"Ingredientes"

<!-- NOVOS VEIOS DE MINÉRIO -->

resourceScrapIron,"Sucata de Ferro"
resourceIronOre,"Minério de Ferro"
resourceIronOreDesc,"Um recurso essencial para a sobrevivência e construção no mundo pós-apocalíptico. O minério de ferro é uma matéria-prima bruta encontrada em grandes depósitos subterrâneos e na superfície. Após ser refinado na forja, o ferro torna-se a base para uma ampla gama de ferramentas, armas e estruturas robustas, sendo indispensável para qualquer sobrevivente em busca de fortaleza e proteção."
resourceIronOreBundle,"Pilha de Minério de Ferro"
resourceIronOreBundleDesc,"Uma pilha compacta de ferro. Use este item para abrir e descompactar."
resourceForgedIron,"Lingote de Ferro"
resourceForgedSteel,"Lingote de Aço"

resourceScrapLead,"Sucata de Chumbo"
resourceLeadOre,"Minério de Chumbo"
resourceLeadOreDesc,"Um minério pesado e denso, amplamente utilizado na fabricação de munições e outros componentes industriais.\n\nSua extração é vital para criar balas e produtos resistentes a corrosão. Embora não seja o mais raro dos metais, sua presença em grandes quantidades é fundamental para a sobrevivência em um ambiente hostil. Pode ser encontrado tanto em depósitos subterrâneos quanto em formações rochosas de superfície."
resourceLeadOreBundle,"Pilha de Minério de Chumbo"
resourceLeadOreBundleDesc,"Uma pilha compacta de chumbo. Use este item para abrir e descompactar."

resourceScrapBrass,"Sucata de Latão"

deco_quartz_vein,"Veio de Minério de Quartzo"
terrOreQuartz,"Minério de Quartzo"
oreQuartzBoulder,"Minério de Quartzo"
unit_quartz,"Quartzo"
lblquartz,"Quartzo"
resourceScrapQuartz,"Sucata de Quartzo"
terrOreStoneQuartzRandom,"= Veio de Quartzo = Ajudante"
terrOreStoneQuartzRandomDesc,"Quartzo / Pedra / Arenito"
resourceQuartzOre,"Minério de Quartzo"
resourceQuartzOreBundle,"Pilha de Minério de Quartzo"
resourceQuartzOreBundleDesc,"Uma pilha compacta de quartzo. Use este item para abrir e descompactar."
resourceQuartzOreDesc,"Um recurso valioso extraído de veios minerais encontrados nas profundezas da terra.\n\nO Minério de Quartzo é uma rocha resistente e versátil, frequentemente utilizada em processos de fabricação avançada. Suas propriedades cristalinas o tornam essencial para a criação de eletrônicos, componentes de alta precisão e joias ornamentadas. Veios de ouro puro podem ser encontrados embutidos no quartzo, tornando-o ainda mais cobiçado."
resourceForgedSilicate,"Lingote de Silicato"
resourceForgedSilicateDesc,"A Liga de Silicato é amplamente utilizada na criação de blocos reforçados e ferramentas de alto desempenho, sendo essencial para quem deseja construir fortificações mais robustas."
